"u","j378","j395","j410","j430","g","j515","r","j660","i","j861","z","GCs"
20.044,20.938,21.132,20.307,19.867,19.03,18.833,17.668,17.297,16.732,16.406,16.316,"0"
16.308,16.214,15.857,15.079,14.923,14.359,14.187,13.676,13.595,13.442,13.396,13.351,"0"
21.123,20.929,20.519,20.942,20.436,20.276,20.093,19.909,19.91,19.672,19.753,19.76,"0"
19.202,18.953,18.705,18.193,18.109,17.691,17.474,17.128,17.069,16.934,16.888,16.89,"0"
18.084,18.139,17.812,16.921,16.697,16.035,15.958,15.137,14.992,14.765,14.64,14.595,"0"
21.481,21.917,22.661,21.693,21.705,21.733,22.055,20.808,20.166,19.51,19.029,18.814,"0"
23.62,20.849,21.85,21.906,22.207,20.357,20.095,19.103,18.583,17.752,17.298,17.188,"0"
21.239,20.933,20.357,20.678,20.38,20.15,19.894,19.61,19.614,19.526,19.405,19.407,"0"
20.502,20.226,21.127,20.558,20.451,20.024,19.987,19.578,19.662,19.414,19.408,19.222,"0"
21.356,21.874,21.806,21.393,20.388,19.47,19.486,18.121,17.692,16.992,16.609,16.517,"0"
18.689,18.409,18.339,17.829,17.72,17.382,17.238,16.874,16.818,16.697,16.659,16.637,"0"
21.616,21.468,23.91,20.86,20.772,20.386,20.235,20.054,20.205,19.877,19.725,20.043,"0"
20.878,21.559,21.416,20.848,20.283,19.38,19.417,18.087,17.706,17.12,16.757,16.677,"0"
18.003,17.748,17.618,17.077,17.028,16.624,16.442,16.115,16.088,15.96,15.952,15.912,"0"
17.06,17.033,16.709,15.974,15.826,15.297,15.13,14.638,14.553,14.413,14.382,14.341,"0"
21.653,22.013,20.98,20.219,20.528,19.637,19.497,18.888,18.764,18.586,18.394,18.466,"0"
20.362,21.361,21.598,20.361,19.847,18.799,18.565,17.353,17.01,16.492,16.185,16.098,"0"
20.258,22.956,22.222,21.64,22.851,20.822,20.945,19.638,19.221,18.367,17.909,17.756,"0"
21.77,21.235,21.328,20.495,21.325,19.639,19.206,18.218,17.862,17.29,16.93,16.85,"0"
19.032,19.009,18.8,17.796,17.596,16.947,16.816,16.133,16.027,15.808,15.725,15.688,"0"
21.266,20.388,20.469,19.861,19.621,18.439,18.268,17.04,16.681,16.192,15.883,15.815,"0"
20.478,21.159,20.914,20.371,19.639,18.8,18.726,17.61,17.447,17.135,16.941,16.895,"0"
20.337,20.641,20.638,19.879,19.587,18.659,18.636,17.474,17.267,16.973,16.828,16.763,"0"
20.171,20.351,20.154,19.961,19.649,19.361,19.279,18.902,18.852,18.725,18.681,18.732,"0"
20.514,21.561,21.854,20.505,19.846,19.086,19.02,17.9,17.667,17.419,17.239,17.177,"0"
16.853,16.708,16.577,15.876,15.815,15.353,15.169,14.771,14.711,14.573,14.534,14.512,"0"
21.973,21.391,21.078,21.881,20.9,20.234,20.107,19.053,18.957,18.652,18.515,18.536,"0"
17.764,17.608,17.432,16.694,16.59,16.06,15.863,15.387,15.318,15.167,15.111,15.075,"0"
18.563,18.444,18.236,17.751,17.711,17.318,17.162,16.871,16.828,16.703,16.701,16.682,"0"
20.692,22.283,23.261,21.219,21.047,20.964,20.562,19.576,19.066,18.39,17.961,17.882,"0"
20.758,20.505,22.301,20.555,20.476,19.504,19.289,18.806,18.84,18.561,18.359,18.431,"0"
21.697,23.296,22.145,20.836,21.21,20.251,20.495,19.212,18.934,18.6,18.359,18.397,"0"
23.241,20.536,20.922,20.783,20.968,20.162,20.234,19.395,19.451,19.192,19.12,19.142,"0"
21.296,23.934,21.596,21.44,20.43,19.611,19.524,18.206,17.948,17.479,17.234,17.133,"0"
20.029,20.169,19.893,19.462,19.523,18.724,18.543,18.075,18,17.825,17.763,17.746,"0"
22.5,20.559,23.05,22.075,20.478,20.336,20.02,19.025,18.712,18.182,17.876,17.778,"0"
20.842,20.133,20.151,20.245,20.033,19.882,19.755,19.787,19.748,19.634,19.516,19.592,"0"
22.188,21.692,22.408,21.256,20.464,19.465,19.296,18.16,17.824,17.215,16.943,16.856,"0"
18.119,18.058,17.861,17.162,17.04,16.542,16.351,15.888,15.805,15.644,15.578,15.543,"0"
21.345,22.352,22.832,20.723,20.599,19.607,19.15,18.136,17.802,17.155,16.812,16.679,"0"
20.012,20.302,19.743,19.488,19.798,19.024,18.976,18.556,18.562,18.36,18.281,18.315,"0"
20.006,19.862,19.496,18.51,18.127,17.141,17.088,15.852,15.611,15.26,15.069,14.986,"0"
19.695,19.577,19.421,19.105,19.148,18.924,18.829,18.59,18.551,18.513,18.431,18.457,"0"
19.271,19.34,18.839,17.935,17.668,16.716,16.61,15.463,15.239,14.89,14.701,14.62,"0"
16.668,16.394,16.334,15.752,15.68,15.315,15.137,14.807,14.777,14.655,14.616,14.597,"0"
19.606,19.465,19.311,18.521,18.375,17.78,17.668,17.044,16.955,16.798,16.707,16.714,"0"
19.668,20.385,19.964,19.228,19.236,18.756,18.489,18.131,18.059,17.952,17.815,17.896,"0"
18.318,18.366,18.38,17.757,17.496,17.225,17.055,16.641,16.585,16.349,16.377,16.334,"0"
20.227,20.296,20.743,19.483,19.22,18.014,17.805,16.644,16.243,15.604,15.233,15.137,"0"
16.148,16.182,15.896,14.888,14.674,14.03,13.939,13.212,13.099,12.913,12.836,12.793,"0"
19.524,20.333,21.09,20.974,19.9,20.43,20.126,19.726,19.669,19.137,18.947,19.081,"0"
21.19,20.615,20.175,20,19.982,19.431,19.39,19.002,19.044,18.861,18.804,18.787,"0"
21.609,21.446,22.276,20.943,21.643,20.565,20.593,19.263,18.857,18.509,18.374,18.218,"0"
20.24,19.917,19.365,19.004,18.887,18.581,18.387,18.065,17.989,17.912,17.905,17.825,"0"
19.436,19.336,19.205,18.114,17.832,17.145,17.047,16.228,16.115,15.916,15.854,15.78,"0"
20.862,20.86,20.213,19.539,19.653,18.99,18.764,18.247,18.131,17.998,17.964,17.9,"0"
18.791,19.072,18.759,17.814,17.61,16.889,16.755,15.954,15.829,15.606,15.499,15.44,"0"
22.675,22.67,22.188,21.583,23.576,20.729,20.773,19.215,18.827,18.133,17.801,17.746,"0"
16.812,16.749,16.324,15.555,15.338,14.701,14.515,13.947,13.847,13.684,13.614,13.577,"0"
21.157,20.509,20.478,20.039,20.179,19.708,19.715,19.12,19.136,19.091,18.997,18.846,"0"
