"u","j378","j395","j410","j430","g","j515","r","j660","i","j861","z","GCs"
19.9,19.488,19.188,18.181,17.986,17.29,17.116,16.312,16.146,15.853,15.742,15.679,"0"
22.825,23.316,21.475,21.373,21.135,21.16,21.113,20.144,20.035,19.506,19.496,19.445,"0"
18.579,18.275,18.261,17.638,17.58,17.141,16.98,16.633,16.606,16.484,16.472,16.445,"0"
23.776,21.887,21.252,20.378,20.346,19.853,19.888,18.637,18.49,18.219,18.07,17.954,"0"
19.331,19.163,18.883,17.863,17.674,17.019,16.91,16.152,16.022,15.82,15.731,15.675,"0"
20.098,19.965,19.608,18.761,18.622,17.947,17.809,17.089,16.947,16.773,16.676,16.624,"0"
17.866,17.695,17.587,17.027,16.982,16.655,16.468,16.178,16.143,16.046,16.022,15.984,"0"
21.254,21.764,21.297,23.181,20.417,21.475,21.43,20.979,19.52,20.929,20.585,21.444,"0"
20.159,22.325,19.653,19.5,18.271,18.204,17.691,16.506,16.364,14.991,15.324,15.122,"0"
20.403,21.665,21.817,20.975,20.244,19.166,19.091,17.951,17.732,17.451,17.282,17.176,"0"
16.798,16.707,16.19,15.384,15.033,14.314,14.117,13.411,13.303,13.115,13.008,12.948,"0"
20.173,19.791,19.396,19.175,19.081,19.063,18.839,18.751,18.892,18.705,18.775,18.666,"0"
20.593,21.576,21.658,21.756,21.543,21.425,21.182,20.855,20.984,20.77,21.056,20.523,"0"
19.445,18.822,18.572,18.388,18.287,18.101,18.008,17.78,17.856,17.684,17.685,17.651,"0"
21.19,20.892,22.431,21.662,22.135,20.316,20.507,18.931,18.656,18.178,17.967,17.812,"0"
21.809,21.099,21.671,19.79,19.671,18.853,18.72,17.592,17.41,17.071,16.866,16.798,"0"
19.988,19.618,19.713,18.858,18.612,17.962,17.825,17.147,17.011,16.818,16.746,16.69,"0"
16.181,16.097,15.744,14.75,14.451,13.684,13.601,12.745,12.522,12.341,12.238,12.216,"0"
14.83,14.532,14.408,13.953,13.904,13.672,13.536,13.341,13.336,13.269,13.297,13.269,"0"
16.667,16.483,16.368,15.684,15.634,15.2,15.012,14.638,14.593,14.463,14.427,14.394,"0"
18.877,18.799,18.389,17.616,17.474,16.906,16.757,16.184,16.101,15.953,15.896,15.841,"0"
16.648,16.423,16.329,15.832,15.79,15.479,15.327,15.06,15.031,14.949,14.933,14.921,"0"
19.523,19.785,19.397,18.397,18.11,17.193,17.094,16.011,15.804,15.505,15.319,15.25,"0"
20.523,20.893,21.084,19.858,19.309,18.567,18.528,17.366,17.157,16.885,16.761,16.676,"0"
18.278,18.134,17.972,17.249,17.204,16.761,16.591,16.222,16.152,16.029,16.005,15.975,"0"
15.971,15.71,15.612,15.008,14.939,14.549,14.365,14.019,13.962,13.834,13.817,13.779,"0"
20.448,21.317,23.313,22.292,21.262,21.398,21.255,20.094,20.209,19.973,19.585,20.047,"0"
19.641,19.613,19.515,18.965,18.779,18.364,18.285,17.847,17.717,17.637,17.694,17.636,"0"
21.023,22.147,21.821,21.489,20.807,20.145,20.078,19.647,19.396,19.384,19.254,19.342,"0"
21.922,20.524,21.093,19.988,19.534,18.681,18.642,17.442,17.198,16.901,16.707,16.63,"0"
14.743,14.523,14.365,13.714,13.641,13.267,13.081,12.922,12.732,12.65,12.65,12.682,"0"
20.051,20.842,20.703,20.808,21.013,20.421,20.235,19.911,19.872,19.802,19.622,19.583,"0"
22.298,21.533,20.978,20.879,19.98,19.546,19.476,18.338,18.093,17.78,17.592,17.469,"0"
16.414,16.073,15.901,15.6,15.534,15.305,15.152,14.909,14.872,14.765,14.748,14.715,"0"
23.919,22.704,21.595,21.623,21.09,21.638,21.052,20.277,19.946,19.849,19.608,19.526,"0"
16.015,15.791,15.671,15.112,15.039,14.682,14.507,14.196,14.171,14.059,14.052,14.016,"0"
21.36,20.504,19.879,19.461,19.177,18.792,18.604,18.169,18.08,17.925,17.825,17.822,"0"
21.698,21.443,20.845,19.669,19.52,18.425,18.269,16.975,16.663,16.199,15.911,15.807,"0"
17.157,18.125,17.782,17.302,16.322,16.631,16.378,15.712,15.617,14.62,15.099,14.984,"0"
20.388,21.891,22.955,21.141,22.351,20.653,20.476,19.451,19.36,19.015,18.82,18.641,"0"
17.96,17.959,17.633,16.658,16.444,15.794,15.635,14.909,14.813,14.63,14.546,14.499,"0"
19.981,19.613,19.308,19.092,18.88,18.638,18.468,18.131,18.072,17.915,17.903,17.829,"0"
20.278,20.148,19.787,19,18.659,18.23,18.02,17.446,17.357,17.163,17.057,17.023,"0"
19.035,18.857,18.537,17.749,17.589,17.008,16.874,16.251,16.128,15.958,15.916,15.843,"0"
20.468,20.247,20.054,19.64,19.755,19.205,18.999,18.735,18.703,18.506,18.558,18.449,"0"
20.697,20.057,19.839,18.603,18.317,17.444,17.399,16.272,16.108,15.853,15.714,15.645,"0"
22.683,20.571,20.561,19.418,19.305,18.476,18.454,17.473,17.321,17.035,16.894,16.818,"0"
19.786,19.528,19.449,18.334,18.067,17.05,16.961,15.747,15.491,15.147,14.953,14.871,"0"
20.457,20.73,20.7,20.416,19.912,19.131,18.948,17.808,17.362,16.602,16.183,16.033,"0"
20.729,20.836,20.579,20.002,19.855,18.827,18.796,17.673,17.512,17.188,17.013,16.943,"0"
18.955,18.862,18.648,18.111,18.039,17.653,17.47,17.152,17.059,16.966,16.932,16.914,"0"
19.981,20.453,20.069,19.44,19.391,18.946,18.865,18.364,18.295,18.165,18.24,18.147,"0"
21.311,21.065,21.073,21.607,20.01,20.306,20.023,19.56,19.378,19.216,19.017,18.928,"0"
21.342,21.075,21.785,19.834,19.693,18.926,18.846,17.891,17.779,17.537,17.391,17.356,"0"
20.883,20.206,19.72,19.688,19.595,19.171,19.109,18.772,18.737,18.601,18.548,18.521,"0"
20.358,21.714,21.151,20.776,24.434,20.854,20.603,20.277,20.175,20.155,20.259,20,"0"
20.998,21.095,22.739,20.908,20.788,19.788,19.667,18.364,18.076,17.611,17.368,17.288,"0"
20.073,19.573,19.479,18.551,18.171,17.455,17.373,16.355,16.204,15.957,15.82,15.771,"0"
21.217,23.307,21.347,21.372,21.46,20.203,20.32,18.965,18.771,18.307,18.025,18.001,"0"
20.595,22.694,21.542,20.799,20.061,19.499,19.5,18.128,17.889,17.502,17.26,17.238,"0"
19.072,19.049,18.812,17.885,17.707,17.039,16.923,16.221,16.134,15.966,15.898,15.825,"0"
18.412,18.378,18.008,17.315,17.11,16.616,16.415,15.946,15.877,15.782,15.751,15.709,"0"
19.525,19.526,19.63,18.877,18.641,18.205,18.053,17.648,17.532,17.465,17.357,17.362,"0"
20.299,20.215,20.202,20.264,19.59,19.607,19.578,19.347,18.287,19.604,19.736,19.784,"0"
19.646,19.594,18.924,18.074,17.887,16.822,16.668,15.508,15.179,14.721,14.464,14.368,"0"
19.098,19.136,19.12,18.897,18.73,18.532,18.364,18.313,18.26,18.144,17.869,17.93,"0"
17.521,17.465,17.287,16.464,16.354,15.815,15.647,15.104,15.016,14.858,14.793,14.757,"0"
20.512,20.519,19.951,19.806,19.71,19.388,18.888,18.78,18.862,18.568,18.474,18.437,"0"
18.069,17.797,17.684,17.121,17.048,16.693,16.514,16.155,16.149,16.007,15.987,15.947,"0"
19.749,20.099,20.365,19.876,19.682,19.267,19.014,18.504,18.479,17.837,17.842,17.834,"0"
18.829,18.559,18.631,18.044,17.987,17.691,17.521,17.237,17.194,17.097,17.12,17.046,"0"
20.143,19.808,19.825,18.607,18.353,17.425,17.32,16.163,15.939,15.586,15.375,15.299,"0"
22.114,21.422,20.837,20.372,20.274,19.573,19.307,18.802,18.824,18.635,18.461,18.511,"0"
20.376,20.012,20.126,19.717,19.905,19.707,19.822,19.953,20.171,20.395,20.863,20.563,"0"
16.625,16.868,16.919,16.633,16.022,16.038,15.904,14.642,13.056,14.13,14.377,14.164,"0"
18.56,18.596,18.176,17.35,17.14,16.506,16.338,15.699,15.613,15.432,15.365,15.31,"0"
16.859,16.665,16.564,15.997,15.944,15.566,15.413,15.085,15.045,14.932,14.925,14.881,"0"
16.738,16.419,16.335,15.85,15.802,15.498,15.344,15.077,15.052,14.958,14.963,14.937,"0"
20.145,21.113,20.843,21.153,20.621,21.651,21.055,20.061,18.431,20.051,22.504,20.92,"0"
19.7,20.506,21.738,23.421,22.166,21.36,20.767,19.833,18.217,20.087,20.99,21.049,"0"
18.896,18.607,18.427,17.862,17.837,17.478,17.322,16.995,16.958,16.86,16.856,16.808,"0"
18.682,18.216,18.125,17.652,17.638,17.275,17.105,16.843,16.798,16.675,16.669,16.643,"0"
20.489,21.252,21.209,20.211,20.116,19.638,19.422,19.022,18.878,18.745,18.697,18.557,"0"
21.451,20.368,20.255,19.348,19.143,18.662,18.551,17.694,17.596,17.387,17.288,17.209,"0"
19.769,20.811,20.827,20.523,20.578,20.519,19.996,20.036,19.915,19.901,19.827,20.079,"0"
21.388,22.463,21.979,21.171,21.584,21.185,20.987,19.869,19.72,19.442,19.277,19.3,"0"
21.436,21.875,21.207,21.098,21.12,20.67,20.923,20.41,20.257,20.041,19.726,19.959,"0"
20.395,21.124,21.667,22.851,21.708,21.863,22.356,20.65,19.443,21.15,21.494,21.033,"0"
19.451,19.499,19.345,18.606,18.41,17.774,17.675,17.002,16.9,16.72,16.635,16.577,"0"
17.323,17.001,16.889,16.536,16.471,16.24,16.073,15.824,15.819,15.693,15.666,15.642,"0"
24.715,21.761,20.879,21.415,20.345,20.682,20.62,20.619,20.994,20.733,21.152,20.595,"0"
16.323,16.072,15.99,15.5,15.478,15.162,14.994,14.733,14.703,14.617,14.615,14.59,"0"
22.399,20.984,20.681,19.836,19.75,18.624,18.371,17.207,16.844,16.25,15.893,15.789,"0"
21.19,20.525,20.725,19.405,19.112,18.276,18.213,17.175,17.001,16.799,16.68,16.619,"0"
21.096,24.308,22.934,21.25,21.023,20.815,20.859,19.382,19.118,18.605,18.292,18.179,"0"
16.136,15.898,15.726,15.058,14.947,14.54,14.361,13.984,13.932,13.834,13.83,13.781,"0"
20.828,20.667,20.867,19.435,19.359,18.843,18.614,18.134,18.073,17.832,17.743,17.73,"0"
16.071,15.882,15.769,15.239,15.196,14.849,14.696,14.405,14.373,14.274,14.258,14.23,"0"
13.769,13.483,13.396,12.903,12.858,12.679,12.405,12.468,12.169,12.159,12.07,12.209,"0"
20.502,21.84,20.611,20.112,21.086,20.526,20.37,20.799,20.702,20.652,20.483,20.261,"0"
20.198,20.525,20.221,19.886,19.646,19.469,19.396,19.121,19.144,18.992,18.934,18.903,"0"
19.727,19.506,19.462,18.812,18.691,18.406,18.213,17.751,17.625,17.423,17.411,17.315,"1"
16.824,16.648,16.549,16.017,15.988,15.617,15.449,15.146,15.114,15.012,15.013,14.98,"0"
20.239,19.853,19.747,19.343,19.606,19.616,19.549,19.368,19.306,18.988,19.039,18.941,"0"
18.488,18.271,18.195,17.621,17.531,17.189,16.997,16.662,16.619,16.485,16.447,16.428,"0"
16.208,16.969,16.811,16.412,15.579,15.68,15.448,14.264,13.147,13.137,13.306,13.041,"0"
20.355,19.674,19.673,18.963,18.787,18.467,18.225,17.854,17.791,17.658,17.655,17.592,"0"
18,17.818,17.729,17.07,17.028,16.624,16.432,16.096,16.065,15.968,15.927,15.917,"0"
22.239,22.361,21.922,21.958,24.987,21.155,20.574,19.547,19.175,18.75,18.578,18.455,"0"
22.545,22.087,22.095,20.578,20.912,20.09,19.895,18.74,18.487,18.196,17.977,17.904,"0"
20.651,19.932,19.575,19.587,19.579,19.245,19.191,18.926,19.079,18.833,18.859,18.769,"0"
15.896,15.663,15.562,15.006,14.963,14.536,14.342,14.01,13.962,13.847,13.812,13.788,"0"
20.511,22.588,22.563,21.088,20.403,19.939,19.782,18.445,18.103,17.742,17.49,17.363,"0"
20.811,20.598,19.875,19.011,18.822,17.914,17.825,16.721,16.536,16.253,16.101,16.013,"0"
21.285,21.874,22.603,21.183,21.543,20.503,20.733,19.17,18.835,18.458,18.166,18.084,"0"
20.576,20.108,20.372,19.816,19.425,19.367,19.305,18.956,18.862,18.794,18.643,18.71,"0"
20.196,20.311,20.215,20.686,20.58,20.527,20.146,20.181,19.93,20.253,20.202,20.162,"0"
24.631,21.337,21.1,20.996,21.881,20.129,19.756,18.6,18.181,17.624,17.262,17.136,"0"
18.894,18.769,18.622,18.137,18.049,17.732,17.555,17.197,17.111,16.973,16.937,16.896,"0"
22.168,21.358,21.412,20.187,20.06,19.034,18.983,17.874,17.755,17.435,17.285,17.179,"0"
20.62,22.123,21.025,20.102,20.854,19.778,19.429,18.905,18.843,18.67,18.575,18.531,"0"
21.105,20.452,20.085,19.391,19.042,18.545,18.393,17.78,17.694,17.516,17.446,17.379,"0"
19.38,20.274,20.664,20.364,20.655,20.251,20.393,19.858,20.177,19.552,19.116,19.266,"0"
21.637,20.755,20.35,20.112,20.255,19.814,19.724,19.519,19.605,19.399,19.401,19.262,"0"
19.602,19.997,19.801,19.551,19.42,18.91,18.746,18.337,18.215,18.099,18.095,18.045,"0"
20.93,21.215,21.097,20.243,20.019,19.347,19.295,18.459,18.253,18.187,18.069,17.959,"0"
21.168,20.259,20.467,20.261,19.712,19.832,19.992,19.511,19.53,19.423,19.277,19.276,"0"
18.155,18.032,17.871,17.153,17.03,16.53,16.335,15.87,15.781,15.63,15.579,15.541,"0"
21.201,20.064,20.361,19.795,19.615,19.663,19.548,19.17,19.077,19.037,19.088,19.056,"0"
17.11,16.937,16.806,16.13,16.065,15.623,15.454,15.083,15.015,14.902,14.876,14.846,"0"
20.747,20.772,20.427,20.098,19.968,20.077,19.796,19.827,19.934,19.713,19.756,19.591,"0"
16.323,16.129,16.016,15.415,15.348,14.968,14.781,14.452,14.392,14.258,14.234,14.188,"0"
22.2,22.295,21.867,21.207,20.717,20.753,20.681,20.242,20.36,20.238,20.427,20.012,"0"
20.889,20.236,20.029,19.801,19.677,19.392,19.339,18.931,18.806,18.746,18.568,18.678,"0"
21.083,19.917,19.493,19.349,19.343,19.076,18.868,18.675,18.665,18.562,18.451,18.496,"0"
24.067,21.571,22.291,20.625,21.142,20.176,20.21,19.592,19.487,19.377,19.355,19.256,"0"
17.534,16.983,16.546,16.219,16.209,16.16,16.103,16.167,16.283,16.298,16.41,16.398,"0"
20.263,20.252,20.542,20.038,19.594,19.244,19.158,18.685,18.672,18.51,18.457,18.383,"0"
17.209,16.986,16.877,16.213,16.138,15.723,15.543,15.157,15.12,14.997,14.966,14.939,"0"
20.422,24.258,21.433,22.315,21.798,21.303,21.06,19.848,19.513,18.846,18.44,18.319,"0"
22.539,21.277,21.101,20.512,20.204,19.947,19.65,19.276,19.125,18.97,18.992,18.898,"0"
20.765,20.122,20.208,19.558,19.524,19.146,18.897,18.622,18.548,18.464,18.421,18.364,"0"
22.498,22.371,21.697,23.136,20.633,21.598,20.55,20.058,19.749,19.572,19.314,19.308,"0"
18.016,17.686,17.543,17.135,17.071,16.823,16.686,16.446,16.417,16.334,16.354,16.321,"0"
19.685,19.545,19.303,18.438,18.371,17.829,17.635,17.102,17,16.854,16.787,16.702,"0"
18.339,18.245,18.015,17.523,17.447,17.119,16.945,16.636,16.603,16.487,16.46,16.449,"0"
20.45,21.059,20.821,20.268,19.917,19.37,19.401,18.815,18.852,18.739,18.708,18.636,"0"
17.139,17.087,16.768,15.729,15.465,14.743,14.662,13.802,13.661,13.471,13.386,13.318,"0"
14.271,13.91,13.76,13.371,13.318,13.147,12.975,12.869,12.821,12.706,12.734,12.731,"0"
21.753,22.168,22.753,22.78,21.661,21.223,21.087,20.068,19.73,19.562,19.345,19.404,"0"
20.059,20.147,19.797,18.937,18.841,18.355,18.175,17.678,17.632,17.475,17.401,17.381,"0"
20.722,21.918,23.825,23.761,21.421,21.319,20.766,20.728,20.77,20.485,20.07,20.051,"0"
15.172,14.869,14.775,14.334,14.286,14.013,13.869,13.633,13.621,13.54,13.553,13.525,"0"
19.16,19.324,18.877,17.741,17.449,16.704,16.651,15.639,15.481,15.249,15.129,15.067,"0"
17.967,17.919,17.755,17.032,16.999,16.477,16.283,15.857,15.786,15.652,15.587,15.545,"0"
20.959,20.324,19.955,19.181,19.285,18.595,18.532,17.77,17.658,17.483,17.376,17.3,"0"
20.339,21.002,20.336,20.203,20.427,19.791,19.5,19.379,19.231,19.228,19.031,19.161,"0"
19.675,19.887,19.62,19.357,19.381,19.256,19.063,18.865,18.889,18.757,18.874,18.722,"0"
21.556,20.61,20.423,19.657,19.301,18.377,18.302,17.036,16.743,16.317,16.048,15.955,"0"
20.819,20.51,21.021,20.086,19.651,19.342,19.295,18.636,18.477,18.427,18.297,18.222,"0"
20.577,20.265,20.488,21.176,21.188,21.001,20.437,20.324,20.549,20.158,19.74,19.786,"0"
21.898,21.738,22.451,21.116,20.765,20.533,20.536,19.752,19.736,19.477,19.478,19.459,"0"
22.017,21.613,20.538,20.672,20.396,20.516,20.421,19.979,20.15,20.094,20.03,20.158,"0"
20.906,21.829,22.127,21.552,23.976,21.398,20.522,19.687,19.132,18.569,18.191,18.012,"0"
20.851,21.142,20.288,20.797,20.204,19.37,18.918,18.513,18.42,18.21,18.116,18.049,"0"
20.546,19.675,19.235,18.983,18.865,18.915,18.853,18.855,19.01,18.871,19.042,18.979,"0"
20.119,21.176,21.153,20.264,20.269,19.605,19.459,18.594,18.484,18.217,18.071,18.076,"0"
19.635,19.812,19.552,18.934,18.774,17.588,17.234,16.201,15.725,14.712,14.208,14.03,"0"
19.865,20.032,19.506,19.445,19.284,18.999,18.853,18.568,18.59,18.433,18.42,18.376,"0"
19.447,19.294,19,17.953,17.591,16.819,16.725,15.767,15.606,15.381,15.266,15.212,"0"
20.549,21.465,21.94,24.912,23.748,20.978,21.088,20.141,19.417,18.567,18.048,17.915,"0"
19.775,21.022,20.645,20.026,19.969,19.503,19.791,18.301,18.005,17.741,17.507,17.41,"0"
17.264,17.151,16.826,16.127,15.996,15.497,15.319,14.889,14.835,14.738,14.719,14.678,"0"
21.743,22.21,23.168,23.674,21.263,21.496,21.43,20.082,19.676,18.532,17.969,17.8,"0"
17.401,17.325,17.054,16.231,16.064,15.502,15.337,14.756,14.691,14.531,14.468,14.431,"0"
21.138,20.318,20.073,19.282,18.872,18.227,18.094,17.24,17.043,16.747,16.569,16.511,"0"
17.592,17.505,17.263,16.539,16.427,15.943,15.759,15.309,15.252,15.119,15.099,15.05,"0"
20.292,23.048,21.604,21.714,22.723,22.198,20.922,20.841,20.852,20.019,20.104,19.871,"0"
16.526,16.34,16.152,15.509,15.432,15.043,14.852,14.52,14.488,14.387,14.384,14.349,"0"
14.551,14.454,14.28,13.55,13.472,13.018,12.848,12.646,12.396,12.313,12.275,12.33,"0"
20.212,22.591,21.255,22.162,20.892,20.561,20.465,19.739,19.706,19.527,19.871,19.375,"0"
21.267,24.671,22.654,21.555,21.509,20.053,19.813,18.688,18.315,17.594,17.174,17.064,"0"
20.611,20.467,20.472,19.506,19.265,18.766,18.607,18.033,17.945,17.801,17.74,17.68,"0"
14.726,14.398,14.265,13.849,13.787,13.566,13.431,13.244,13.219,13.148,13.173,13.143,"0"
22.191,21.384,21.872,21.35,24.08,21.996,22.822,21.25,21.379,21.128,20.91,21.065,"0"
19.364,19.204,19.197,18.015,17.981,17.334,17.204,16.494,16.391,16.208,16.117,16.074,"0"
22.152,20.077,20.101,19.025,18.897,18.295,18.164,17.52,17.441,17.26,17.161,17.108,"0"
19.053,18.409,18.126,17.118,16.868,15.885,15.751,14.599,14.343,13.952,13.719,13.634,"0"
19.696,19.61,20.056,18.895,18.816,18.27,18.106,17.584,17.49,17.32,17.289,17.201,"0"
16.729,16.433,16.354,15.831,15.748,15.421,15.254,14.945,14.896,14.776,14.781,14.739,"0"
20.237,19.895,19.514,18.759,18.571,18.068,17.866,17.357,17.24,17.087,17.03,16.97,"0"
21.62,20.915,20.677,20.372,20.545,20.593,20.407,19.621,19.446,18.992,19.053,18.934,"0"
18.07,18.089,17.888,17.194,17.086,16.652,16.478,16.072,16.023,15.912,15.878,15.834,"0"
20.644,20.813,20.528,19.894,20.026,19.174,18.889,18.511,18.441,18.328,18.196,18.235,"0"
18.773,18.486,18.412,18.078,18.01,17.774,17.665,17.425,17.433,17.334,17.331,17.297,"0"
20.148,20.76,20.815,20.65,20.067,19.282,19.21,18.268,18.123,17.846,17.661,17.627,"0"
17.427,17.174,17.099,16.479,16.413,16.015,15.857,15.464,15.404,15.278,15.255,15.201,"0"
19.25,19.242,19.315,18.14,17.894,17.14,17.05,16.128,15.982,15.749,15.639,15.575,"0"
20.822,22.166,22.061,22.405,21.568,21.761,20.609,19.751,19.208,18.54,18.187,18.048,"0"
16.291,16.077,15.955,15.411,15.344,14.996,14.835,14.519,14.477,14.363,14.356,14.325,"0"
19.944,19.37,19.826,19.409,19.387,19.356,19.431,19.113,18.793,18.825,17.97,18.322,"0"
20.869,20.749,20.229,19.295,18.915,18.202,18.109,17.141,16.967,16.711,16.571,16.507,"0"
13.908,13.741,13.687,13.072,13.042,12.746,12.501,12.525,12.191,12.159,12.064,12.196,"0"
20.892,21.239,20.398,19.759,19.469,18.502,18.344,17.098,16.783,16.287,16.009,15.906,"0"
23.971,22.103,22.896,21.603,22.334,20.792,21.065,19.781,19.453,19.294,19.048,18.915,"0"
19.912,19.837,19.815,19.504,19.38,19.165,18.985,18.586,18.552,18.395,18.441,18.317,"0"
20.994,19.98,19.785,18.506,18.251,17.324,17.208,16.032,15.831,15.498,15.316,15.239,"0"
21.671,21.376,21.868,20.495,19.842,19.216,19.163,18.193,18.018,17.818,17.716,17.618,"0"
20.652,21.917,22.781,20.507,20.198,19.299,19.159,17.829,17.542,17.137,16.901,16.77,"0"
21.039,21.859,22.614,20.92,21.332,21.272,20.717,20.659,21.225,20.659,21.24,20.478,"0"
19.067,18.688,18.426,17.665,17.504,16.96,16.787,16.282,16.208,16.041,15.993,15.953,"0"
16.899,16.737,16.622,15.964,15.879,15.446,15.259,14.869,14.803,14.666,14.635,14.598,"0"
20.4,20.57,20.239,19.148,18.725,17.872,17.833,16.635,16.424,16.135,15.956,15.873,"0"
20.134,20.794,20.523,20.197,19.83,19.072,18.986,18.034,17.931,17.647,17.517,17.443,"0"
18.442,18.206,18.107,17.437,17.383,16.908,16.719,16.284,16.206,16.071,16.025,16,"0"
20.912,21.915,23.379,22.594,23.551,22.661,23.338,21.022,20.613,20.421,20.168,19.935,"0"
23.618,22.103,21.755,21.082,21.107,19.784,19.471,18.412,18.089,17.573,17.32,17.204,"0"
21.91,22.709,22.249,21.017,21.204,20.14,20.262,18.914,18.871,18.51,18.365,18.239,"0"
19.794,22.292,20.869,21.01,20.71,20.155,19.877,19.241,19.079,18.774,18.657,18.645,"0"
19.185,19.226,19.042,18.276,18.266,17.781,17.671,17.204,17.159,17,16.948,16.883,"0"
18.624,18.414,18.203,17.548,17.521,17.08,16.885,16.481,16.417,16.313,16.252,16.212,"0"
23.822,20.318,21.622,20.925,20.762,20.874,21.962,20.987,20.784,20.426,20.591,20.36,"0"
19.25,19.209,19.072,18.696,18.574,18.374,18.294,18.028,17.997,17.92,17.874,17.848,"0"
20.325,24.141,22.299,22.621,20.68,20.253,20.043,18.799,18.483,18.064,17.815,17.724,"0"
20.128,20.757,20.043,19.315,18.701,17.915,17.861,16.665,16.427,16.104,15.917,15.834,"0"
19.121,19.469,19.163,18.068,17.771,16.981,16.871,15.954,15.81,15.607,15.498,15.435,"0"
21.112,19.829,19.951,19.365,19.523,19.072,18.933,18.617,18.56,18.534,18.477,18.505,"0"
20.688,20.095,19.688,18.871,18.502,17.861,17.763,16.893,16.748,16.555,16.443,16.385,"0"
21.287,21.896,22.31,21.34,20.82,19.803,19.977,18.777,18.616,18.342,18.114,18.043,"0"
18.955,18.985,18.671,17.807,17.626,17.038,16.882,16.278,16.201,16.041,15.964,15.912,"0"
20.611,20.155,19.601,19.031,19.083,18.645,18.466,17.991,17.96,17.786,17.742,17.677,"0"
17.574,17.348,17.281,16.645,16.575,16.23,16.061,15.745,15.728,15.614,15.609,15.582,"0"
16.294,16.256,15.945,15.078,14.909,14.321,14.193,13.605,13.509,13.376,13.34,13.289,"0"
20.061,20.663,20.147,20.125,19.847,20.149,20.294,19.707,19.425,19.567,19.539,19.496,"0"
17.127,16.872,16.796,16.316,16.257,15.989,15.859,15.595,15.572,15.482,15.491,15.457,"0"
20.549,20.985,20.626,19.918,19.592,19.145,19.022,18.633,18.491,18.4,18.476,18.329,"0"
20.075,19.47,19.512,19.204,18.996,18.946,18.838,18.664,18.639,18.599,18.554,18.55,"0"
19.201,19.434,19.569,19.528,19.259,19.193,18.95,18.949,18.912,18.897,18.863,18.805,"0"
19.168,19.025,18.818,17.959,17.777,17.202,17.069,16.437,16.333,16.175,16.091,16.055,"0"
20.303,21.137,21.42,20.358,21.469,20.303,20.522,19.72,19.664,19.383,19.469,19.263,"0"
21.615,20.565,24.921,21.823,24.244,21.465,20.225,19.681,19.386,18.895,18.582,18.495,"0"
18.42,18.202,18.135,17.596,17.56,17.134,16.913,16.571,16.513,16.374,16.352,16.315,"0"
22.141,21.609,21.907,20.259,20.195,18.87,18.86,17.504,17.23,16.802,16.529,16.482,"0"
17.71,17.429,17.319,16.69,16.651,16.299,16.118,15.825,15.787,15.677,15.671,15.644,"0"
15.144,14.787,14.683,14.243,14.182,13.947,13.813,13.61,13.61,13.542,13.567,13.546,"0"
20.276,21.534,21.011,20.014,19.496,18.667,18.597,17.427,17.255,16.903,16.719,16.638,"0"
18.7,18.674,18.401,17.589,17.411,16.836,16.693,16.073,15.97,15.802,15.734,15.681,"0"
23.172,23.756,21.278,22.054,21.101,21.837,21.214,20.998,20.69,20.175,19.675,19.843,"0"
15.48,15.136,14.994,14.59,14.536,14.318,14.183,13.987,13.993,13.92,13.945,13.921,"0"
19.256,19.123,18.774,17.762,17.424,16.618,16.559,15.555,15.391,15.18,15.054,14.991,"0"
18.903,18.84,18.598,18.231,18.14,17.86,17.671,17.388,17.384,17.27,17.286,17.235,"0"
19.543,19.681,19.75,18.798,18.775,18.12,17.924,17.431,17.352,17.213,17.143,17.111,"0"
20.599,20.813,20.8,20.12,20.034,18.759,18.536,17.524,16.992,16.006,15.517,15.316,"0"
20.966,21.839,21.121,20.753,19.948,19.488,19.337,18.627,18.422,18.182,18.03,17.996,"0"
23.981,21.662,22.523,20.462,20.579,19.184,19.083,17.968,17.524,16.623,16.158,15.997,"0"
20.433,21.733,22.249,22.078,21.019,20.751,20.879,20.544,19.926,20.161,19.98,20.064,"0"
17.702,17.668,17.363,16.482,16.317,15.707,15.557,14.916,14.821,14.655,14.587,14.536,"0"
16.315,16.053,15.951,15.365,15.31,14.924,14.747,14.417,14.365,14.25,14.247,14.21,"0"
20.697,20.861,20.045,19.468,19.293,18.232,18.067,16.783,16.46,16.009,15.711,15.616,"0"
18.308,18.089,17.933,17.422,17.398,17.015,16.843,16.541,16.508,16.409,16.394,16.358,"0"
21.585,23.211,22.818,20.773,22.945,22.232,21.585,20.564,20.043,19.49,19.185,18.948,"0"
20.58,21.173,21.018,20.392,20.52,20.186,19.746,19.663,19.689,19.529,19.573,19.425,"0"
21.53,21.06,20.571,19.465,19.706,19.325,19.13,18.777,18.711,18.627,18.548,18.57,"0"
15.896,15.626,15.511,14.892,14.813,14.439,14.263,13.923,13.873,13.739,13.748,13.706,"0"
22.306,21.522,22.571,21.102,20.811,22.874,21.67,20.846,20.794,20.55,20.605,20.023,"0"
21.144,20.556,20.559,19.989,19.918,19.723,19.392,19.089,19.032,18.899,18.949,18.828,"0"
16.894,16.726,16.617,15.911,15.856,15.415,15.231,14.817,14.789,14.65,14.628,14.583,"0"
21.292,21.323,22.219,20.3,19.905,19.391,19.281,18.388,18.27,18.065,17.978,17.902,"0"
